Name,Latitude,Longitude
Parnassos Ski Resort,38.539607,22.530986
Kalavrita Ski Center,38.006541,22.197864
Mainalos Ski Center,37.651327,22.266459
Pelion Ski Center,39.387174,23.083632
Velouchi Ski Resort,38.941800,21.807620
Elatochori Ski Center,40.316771,22.207105
3-5 Pigadia Ski Center,40.633208, 21.967191
Ski Resort Voras,40.910210,21.812452
Falakro Ski Center,41.307086,24.068159
Vasilitsa Ski Centre,40.057540,21.083252
Metsovo Ski Center,39.784828, 21.159041
Pisoderi Ski Centre,40.771309, 21.268531
